,molecule_chembl_id,canonical_smiles,standard_value,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL67521,CCOC(=O)Cc1ccc(OC(=O)CCCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,140.0,active,442.55600000000027,3.7458000000000027,2.0,5.0,6.853871964321762
1,CHEMBL66319,CCOC(=O)CCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,540.0,active,380.48500000000024,2.5309999999999997,2.0,5.0,6.267606240177032
2,CHEMBL68172,CCOC(=O)c1ccc(COC(=O)CCCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,100.0,active,442.5560000000002,3.9547000000000025,2.0,5.0,7.0
3,CHEMBL265024,CCOC(=O)COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,390.0,active,366.4580000000002,2.1408999999999994,2.0,5.0,6.4089353929735005
4,CHEMBL66380,O=C(O)CNC(=O)NC1CCCCC1,500000.0,inactive,200.23799999999994,0.7028999999999994,3.0,2.0,3.3010299956639813
5,CHEMBL70175,O=C(NCCCO)NC1CCCCC1,500000.0,inactive,200.28199999999995,1.0006999999999995,3.0,2.0,3.3010299956639813
6,CHEMBL304297,O=C(O)CCNC(=O)NC1CCCCC1,358000.0,inactive,214.26499999999996,1.093,3.0,2.0,3.4461169733561254
7,CHEMBL308642,COC(=O)CCNC(=O)NC1CCCCC1,78000.0,inactive,228.29199999999997,1.1813999999999998,2.0,3.0,4.107905397309519
8,CHEMBL66663,CCCCCCC(=O)CCCNC(=O)Nc1cccc(Cl)c1,2100.0,intermediate,324.852,4.781200000000004,2.0,2.0,5.6777807052660805
9,CHEMBL69663,CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active,334.5480000000002,5.395100000000005,2.0,1.0,7.0
10,CHEMBL432525,COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,1600.0,intermediate,294.3950000000001,2.2075999999999993,2.0,3.0,5.795880017344075
11,CHEMBL302704,CCOC(=O)CCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,110.0,active,450.62000000000023,4.481500000000003,2.0,5.0,6.958607314841775
12,CHEMBL66518,COC(=O)CNC(=O)NC1CCCCC1,70000.0,inactive,214.26499999999996,0.7912999999999997,2.0,3.0,4.154901959985743
13,CHEMBL66796,CCCCCOC(=O)NCCNC(=O)Nc1cccc(Cl)c1,100000.0,inactive,327.812,3.3779000000000012,3.0,3.0,4.0
14,CHEMBL70231,CCOC(=O)CCCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active,492.70100000000036,5.651800000000005,2.0,5.0,7.0
15,CHEMBL69495,CCCCCOC(=O)OCCNC(=O)Nc1cccc(Cl)c1,22000.0,inactive,328.79600000000005,3.8049000000000017,2.0,4.0,4.657577319177793
16,CHEMBL66542,CCOC(=O)/C=C/c1ccc(OC(=O)CCCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,200.0,active,454.5670000000003,4.2165000000000035,2.0,5.0,6.698970004336019
17,CHEMBL69744,CCCCCNC(=O)OCCNC(=O)Nc1cccc(Cl)c1,18000.0,inactive,327.812,3.3779000000000012,3.0,3.0,4.7447274948966935
18,CHEMBL66498,CCCCCCC(O)CCCNC(=O)Nc1cccc(Cl)c1,3100.0,intermediate,326.86800000000005,4.573000000000003,3.0,2.0,5.508638306165727
19,CHEMBL302664,CCCCCNC(=O)NCCNC(=O)Nc1cccc(Cl)c1,100000.0,inactive,326.828,2.9509,4.0,2.0,4.0
20,CHEMBL308665,CCOC(=O)CCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,120.0,active,394.5120000000002,2.921100000000001,2.0,5.0,6.920818753952375
21,CHEMBL68344,COCCCNC(=O)NC1CCCCC1,6200.0,intermediate,214.30899999999994,1.6547999999999996,2.0,2.0,5.207608310501746
22,CHEMBL302505,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,170.0,active,350.50300000000016,3.7680000000000025,2.0,3.0,6.769551078621726
23,CHEMBL302116,CCOC(=O)CCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,130.0,active,408.53900000000027,3.3112000000000013,2.0,5.0,6.886056647693163
24,CHEMBL419810,O=C(O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,37000.0,inactive,280.36800000000005,2.1191999999999993,3.0,2.0,4.431798275933005
25,CHEMBL308880,CCCCCNC(=O)CCCNC(=O)Nc1cccc(Cl)c1,32000.0,inactive,325.84000000000003,3.5481000000000016,3.0,2.0,4.494850021680094
26,CHEMBL305446,CC(C)=CCCC(C)CCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,110.0,active,418.62200000000024,5.350400000000005,2.0,3.0,6.958607314841775
27,CHEMBL68115,CCOC(=O)CCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active,478.6740000000003,5.261700000000005,2.0,5.0,7.0
28,CHEMBL66175,CCOC(=O)CCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,120.0,active,436.59300000000025,4.091400000000003,2.0,5.0,6.920818753952375
29,CHEMBL67041,CCOC(=O)CCCCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active,506.72800000000035,6.041900000000006,2.0,5.0,7.0
30,CHEMBL66709,CCCCCCC(=O)OCCNC(=O)Nc1cccc(Cl)c1,26000.0,inactive,326.82400000000007,3.975100000000003,2.0,3.0,4.585026652029182
31,CHEMBL67158,CCCCCCCCCCNC(=O)NC1CCCCC1,140.0,active,282.47200000000004,4.759000000000004,2.0,1.0,6.853871964321762
32,CHEMBL66499,O=C(NCCCCCO)NC1CCCCC1,253000.0,inactive,228.33599999999998,1.7808999999999995,3.0,2.0,3.596879478824182
33,CHEMBL418331,CCCCCOC(=O)CCCNC(=O)Nc1cccc(Cl)c1,2100.0,intermediate,326.82399999999996,3.975100000000003,2.0,3.0,5.6777807052660805
34,CHEMBL302070,CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,1020.0,intermediate,298.4270000000001,3.1319000000000017,2.0,3.0,5.991399828238082
35,CHEMBL63945,CCCCCCC(=O)NCCNC(=O)Nc1cccc(Cl)c1,100000.0,inactive,325.84000000000003,3.5481000000000016,3.0,2.0,4.0
36,CHEMBL11326,CN(C(=O)NC1CCCCC1)c1ccccc1,2.11,active,232.327,3.1651000000000016,1.0,1.0,8.675717544702307
37,CHEMBL11524,CC(C)(C)CC(C)(C)NC(=O)NC1CCCCC1,0.49,active,254.41799999999995,3.8331000000000017,2.0,1.0,9.309803919971486
38,CHEMBL11658,CCCCCCCCCCCCNC(=O)NCC(C)(C)C(C)(C)C,2.36,active,340.5960000000001,6.278800000000007,2.0,1.0,8.627087997029893
39,CHEMBL11448,CC(C)(C)OC(=O)CNC(=O)NC1CCCCC1,1.28,active,256.34599999999995,1.9599999999999997,2.0,3.0,8.892790030352131
40,CHEMBL11522,O=C(Nc1ccc(O)cc1)NC1CCCCC1,1.05,active,234.29899999999992,2.846400000000001,3.0,2.0,8.978810700930062
41,CHEMBL302505,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,170.0,active,350.50300000000016,3.7680000000000025,2.0,3.0,6.769551078621726
42,CHEMBL195796,CCCCCCC(O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,130.0,active,350.5470000000002,4.365900000000003,3.0,2.0,6.886056647693163
43,CHEMBL191767,CCCCCOCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,170.0,active,336.52000000000015,4.241400000000003,2.0,2.0,6.769551078621726
44,CHEMBL69663,CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,110.0,active,334.5480000000002,5.395100000000005,2.0,1.0,6.958607314841775
45,CHEMBL418331,CCCCCOC(=O)CCCNC(=O)Nc1cccc(Cl)c1,2060.0,intermediate,326.82399999999996,3.975100000000003,2.0,3.0,5.686132779630847
46,CHEMBL66498,CCCCCCC(O)CCCNC(=O)Nc1cccc(Cl)c1,3100.0,intermediate,326.86800000000005,4.573000000000003,3.0,2.0,5.508638306165727
47,CHEMBL192299,CCCCCOC(=O)CCCCC(=O)Nc1cccc(Cl)c1,5900.0,intermediate,325.836,4.572300000000004,1.0,3.0,5.229147988357856
