molecule_chembl_id,canonical_smiles,standard_value,0
CHEMBL67521,CCOC(=O)Cc1ccc(OC(=O)CCCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,140.0,active
CHEMBL66319,CCOC(=O)CCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,540.0,active
CHEMBL68172,CCOC(=O)c1ccc(COC(=O)CCCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,100.0,active
CHEMBL265024,CCOC(=O)COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,390.0,active
CHEMBL66380,O=C(O)CNC(=O)NC1CCCCC1,500000.0,inactive
CHEMBL70175,O=C(NCCCO)NC1CCCCC1,500000.0,inactive
CHEMBL304297,O=C(O)CCNC(=O)NC1CCCCC1,358000.0,inactive
CHEMBL308642,COC(=O)CCNC(=O)NC1CCCCC1,78000.0,inactive
CHEMBL66663,CCCCCCC(=O)CCCNC(=O)Nc1cccc(Cl)c1,2100.0,intermediate
CHEMBL69663,CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL432525,COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,1600.0,intermediate
CHEMBL302704,CCOC(=O)CCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,110.0,active
CHEMBL66518,COC(=O)CNC(=O)NC1CCCCC1,70000.0,inactive
CHEMBL66796,CCCCCOC(=O)NCCNC(=O)Nc1cccc(Cl)c1,100000.0,inactive
CHEMBL70231,CCOC(=O)CCCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL69495,CCCCCOC(=O)OCCNC(=O)Nc1cccc(Cl)c1,22000.0,inactive
CHEMBL66542,CCOC(=O)/C=C/c1ccc(OC(=O)CCCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,200.0,active
CHEMBL69744,CCCCCNC(=O)OCCNC(=O)Nc1cccc(Cl)c1,18000.0,inactive
CHEMBL66498,CCCCCCC(O)CCCNC(=O)Nc1cccc(Cl)c1,3100.0,intermediate
CHEMBL302664,CCCCCNC(=O)NCCNC(=O)Nc1cccc(Cl)c1,100000.0,inactive
CHEMBL308665,CCOC(=O)CCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,120.0,active
CHEMBL68344,COCCCNC(=O)NC1CCCCC1,6200.0,intermediate
CHEMBL302505,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,170.0,active
CHEMBL302116,CCOC(=O)CCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,130.0,active
CHEMBL419810,O=C(O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,37000.0,inactive
CHEMBL308880,CCCCCNC(=O)CCCNC(=O)Nc1cccc(Cl)c1,32000.0,inactive
CHEMBL305446,CC(C)=CCCC(C)CCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,110.0,active
CHEMBL68115,CCOC(=O)CCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL66175,CCOC(=O)CCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,120.0,active
CHEMBL67041,CCOC(=O)CCCCCCCCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL66709,CCCCCCC(=O)OCCNC(=O)Nc1cccc(Cl)c1,26000.0,inactive
CHEMBL67158,CCCCCCCCCCNC(=O)NC1CCCCC1,140.0,active
CHEMBL66499,O=C(NCCCCCO)NC1CCCCC1,253000.0,inactive
CHEMBL418331,CCCCCOC(=O)CCCNC(=O)Nc1cccc(Cl)c1,2100.0,intermediate
CHEMBL302070,CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,1020.0,intermediate
CHEMBL63945,CCCCCCC(=O)NCCNC(=O)Nc1cccc(Cl)c1,100000.0,inactive
CHEMBL11326,CN(C(=O)NC1CCCCC1)c1ccccc1,2.11,active
CHEMBL11524,CC(C)(C)CC(C)(C)NC(=O)NC1CCCCC1,0.49,active
CHEMBL11658,CCCCCCCCCCCCNC(=O)NCC(C)(C)C(C)(C)C,2.36,active
CHEMBL11448,CC(C)(C)OC(=O)CNC(=O)NC1CCCCC1,1.28,active
CHEMBL11522,O=C(Nc1ccc(O)cc1)NC1CCCCC1,1.05,active
