iter	Passed	Remaining
0	104	103896
1	151	75771
2	196	65385
3	249	62058
4	309	61670
5	399	66155
6	478	67881
7	540	67023
8	598	65849
9	661	65453
10	718	64641
11	784	64572
12	844	64125
13	899	63381
14	958	62932
15	1013	62333
16	1066	61689
17	1120	61129
18	1174	60646
19	1233	60429
20	1287	60017
21	1357	60341
22	1413	60055
23	1474	59953
24	1532	59765
25	1584	59353
26	1639	59082
27	1694	58812
28	1756	58800
29	1808	58467
30	1860	58160
31	1955	59164
32	2008	58866
33	2062	58608
34	2137	58947
35	2199	58906
36	2263	58900
37	2315	58623
38	2372	58462
39	2428	58280
40	2481	58037
41	2550	58169
42	2604	57973
43	2657	57737
44	2713	57595
45	2775	57556
46	2832	57433
47	2888	57292
48	2939	57045
49	2990	56822
50	3044	56643
51	3094	56410
52	3151	56306
53	3203	56112
54	3255	55929
55	3306	55736
56	3356	55527
57	3411	55414
58	3470	55348
59	3534	55374
60	3584	55183
61	3643	55120
62	3694	54946
63	3750	54850
64	3801	54681
65	3853	54532
66	3907	54418
67	3967	54372
68	4024	54306
69	4076	54154
70	4132	54066
71	4186	53957
72	4234	53769
73	4281	53580
74	4333	53441
75	4388	53354
76	4444	53271
77	4497	53158
78	4547	53010
79	4597	52876
80	4649	52748
81	4697	52586
82	4755	52537
83	4812	52482
84	4868	52410
85	4921	52306
86	4972	52178
87	5035	52181
88	5087	52072
89	5139	51967
90	5196	51909
91	5254	51864
92	5313	51819
93	5367	51734
94	5420	51640
95	5472	51532
96	5528	51469
97	5589	51443
98	5656	51477
99	5715	51443
100	5770	51363
101	5824	51280
102	5875	51171
103	5922	51020
104	5975	50937
105	6032	50881
106	6096	50881
107	6159	50874
108	6238	50998
109	6304	51012
110	6371	51025
111	6441	51072
112	6500	51028
113	6555	50950
114	6617	50928
115	6681	50914
116	6761	51029
117	6851	51212
118	6939	51372
119	7006	51380
120	7089	51500
121	7185	51710
122	7267	51817
123	7357	51980
124	7414	51904
125	7486	51927
126	7563	51992
127	7635	52014
128	7717	52110
129	7796	52175
130	7863	52160
131	7924	52106
132	7985	52054
133	8041	51971
134	8101	51912
135	8157	51823
136	8214	51743
137	8265	51627
138	8316	51516
139	8371	51423
140	8432	51373
141	8483	51257
142	8539	51176
143	8607	51164
144	8685	51215
145	8766	51280
146	8837	51279
147	8913	51312
148	8997	51387
149	9100	51567
150	9183	51637
151	9266	51694
152	9382	51941
153	9614	52815
154	9700	52883
155	9797	53006
156	9902	53168
157	9979	53184
158	10051	53164
159	10123	53148
160	10184	53074
161	10253	53039
162	10310	52942
163	10372	52872
164	10439	52832
165	10499	52751
166	10556	52656
167	10621	52602
168	10680	52516
169	10737	52423
170	10793	52327
171	10854	52250
172	10910	52155
173	10969	52071
174	11024	51970
175	11076	51857
176	11134	51773
177	11184	51647
178	11229	51506
179	11284	51406
180	11335	51292
181	11392	51204
182	11442	51085
183	11498	50991
184	11547	50872
185	11596	50752
186	11645	50629
187	11698	50527
188	11754	50439
189	11803	50320
190	11852	50204
191	11906	50107
192	11966	50037
193	12021	49944
194	12083	49884
195	12145	49820
196	12208	49764
197	12290	49782
198	12376	49818
199	12457	49831
200	12537	49836
201	12613	49830
202	12696	49846
203	12783	49880
204	12872	49918
205	12940	49878
206	13021	49884
207	13110	49921
208	13189	49917
209	13257	49875
210	13321	49815
211	13385	49754
212	13443	49672
213	13496	49570
214	13546	49461
215	13609	49396
216	13669	49322
217	13731	49255
218	13797	49204
219	13868	49170
220	13933	49113
221	14004	49078
222	14085	49077
223	14162	49061
224	14232	49022
225	14305	48993
226	14373	48947
227	14457	48953
228	14534	48933
229	14625	48965
230	14707	48960
231	14798	48987
232	14880	48985
233	14958	48967
234	15027	48920
235	15108	48909
236	15191	48909
237	15271	48893
238	15345	48863
239	15432	48870
240	15510	48849
241	15583	48811
242	15654	48767
243	15724	48720
244	15782	48634
245	15854	48593
246	15927	48555
247	15998	48512
248	16083	48507
249	16153	48460
250	16382	48887
251	16464	48870
252	16532	48814
253	16596	48742
254	16655	48659
255	16708	48559
256	16767	48475
257	16828	48398
258	16885	48308
259	16937	48207
260	16998	48129
261	17052	48032
262	17110	47948
263	17166	47858
264	17221	47763
265	17273	47665
266	17322	47555
267	17376	47462
268	17430	47367
269	17488	47283
270	17545	47198
271	17602	47111
272	17654	47013
273	17706	46914
274	17752	46802
275	17806	46708
276	17856	46606
277	17910	46516
278	17967	46432
279	18018	46332
280	18076	46251
281	18134	46172
282	18190	46086
283	18237	45979
284	18294	45895
285	18343	45793
286	18400	45713
287	18455	45626
288	18516	45554
289	18581	45493
290	18636	45406
291	18691	45321
292	18745	45232
293	18796	45136
